,name,handedness,height,weight,avg,HR,weight_cat,height_cat
958,Carlos May,L,71,200,0.27399999999999997,90,High,Low
959,Reggie Smith,B,72,180,0.287,314,Medium,Low
960,Ron Reed,R,78,215,0.158,0,High,High
961,Fred Howard,R,75,190,0.0,0,Medium,High
962,Davey Johnson,R,73,170,0.261,136,Low,Medium
963,Ellis Valentine,R,76,205,0.278,123,High,High
964,Roy White,B,70,160,0.271,160,Low,Low
965,Mike Brumley,L,70,195,0.22899999999999998,5,High,Low
966,Al Luplow,L,70,175,0.235,33,Low,Low
967,John Hoover,R,74,190,0.0,0,Medium,Medium
968,Dick Allen,R,71,187,0.292,351,Medium,Low
969,Doug Ault,R,75,200,0.23600000000000002,17,High,High
970,Mark Wagner,R,72,165,0.243,3,Low,Low
971,Mike Walters,R,77,203,0.0,0,High,High
972,Willie Stargell,L,74,188,0.282,475,Medium,Medium
973,Steve Carlton,L,76,210,0.201,13,High,High
974,Jake Wood,R,73,163,0.25,35,Low,Medium
975,Del Unser,L,73,180,0.258,87,Medium,Medium
976,Bob Brower,R,71,185,0.242,17,Medium,Low
977,Ray Culp,R,72,200,0.12300000000000001,1,High,Low
978,Ivan Murrell,R,74,195,0.23600000000000002,33,High,Medium
979,Lee Mazzilli,B,73,180,0.259,93,Medium,Medium
980,Garth Iorg,R,71,170,0.258,20,Low,Low
981,Alan Ashby,B,74,185,0.245,90,Medium,Medium
982,Bob Brenly,R,74,210,0.247,91,High,Medium
983,Ron Blomberg,L,73,195,0.293,52,High,Medium
984,Jim Rooker,R,72,195,0.201,7,High,Low
985,Tim Blackwell,B,71,170,0.228,6,Low,Low
986,Colby Ward,R,74,185,0.0,0,Medium,Medium
987,Jerry Morales,R,70,155,0.259,95,Low,Low
988,Davey Lopes,R,69,170,0.263,155,Low,Low
989,Catfish Hunter,R,72,190,0.226,6,Medium,Low
990,Mario Soto,R,72,174,0.132,1,Low,Low
991,Jimmy Wynn,R,70,160,0.25,291,Low,Low
992,Hank Allen,R,72,190,0.24100000000000002,6,Medium,Low
993,Jim Fregosi,R,73,190,0.265,151,Medium,Medium
994,Pepe Frias,R,70,159,0.24,1,Low,Low
995,Mike Schmidt,R,74,195,0.267,548,High,Medium
996,Willie Montanez,L,72,170,0.275,139,Low,Low
997,Rey Quinones,R,71,160,0.243,29,Low,Low
998,Mike Squires,L,71,185,0.26,6,Medium,Low
999,Champ Summers,L,74,205,0.255,54,High,Medium
1000,Chuck Porter,R,75,187,0.0,0,Medium,High
1001,Bert Campaneris,R,70,160,0.259,79,Low,Low
1002,Bobby Valentine,R,70,189,0.26,12,Medium,Low
1003,Rob Andrews,R,72,185,0.251,3,Medium,Low
1004,Tom Haller,L,76,195,0.257,134,High,High
1005,Tom Dozier,R,74,190,0.0,0,Medium,Medium
1006,Ed Stroud,L,71,180,0.237,14,Medium,Low
1007,Ron Swoboda,R,74,195,0.242,73,High,Medium
1008,Harry Spilman,L,73,180,0.237,18,Medium,Medium
1009,Bob Barton,R,72,175,0.226,9,Low,Low
1010,Daryl Sconiers,L,74,185,0.265,15,Medium,Medium
1011,Joe Torre,R,74,212,0.297,252,High,Medium
1012,Al Ferrara,R,73,200,0.259,51,High,Medium
1013,Rick Steirer,R,76,200,0.0,0,High,High
1014,Sixto Lezcano,R,70,165,0.271,148,Low,Low
1015,Al Lachowicz,R,75,198,0.0,0,High,High
1016,Dave Nicholson,R,74,215,0.212,61,High,Medium
1017,Freddie Patek,R,65,148,0.242,41,Low,Low
1018,Ken Hubbs,R,74,175,0.247,14,Low,Medium
1019,Pepe Mangual,R,70,157,0.242,16,Low,Low
1020,Leron Lee,L,72,196,0.25,31,High,Low
1021,Tom McCarthy,R,72,180,0.0,0,Medium,Low
1022,Steve Ontiveros,B,72,185,0.27399999999999997,24,Medium,Low
1023,Willie Davis,L,74,180,0.27899999999999997,182,Medium,Medium
1024,Tom Lawless,R,71,170,0.207,2,Low,Low
1025,Jerry Moses,R,75,210,0.251,25,High,High
1026,Bobby Bonds,R,73,190,0.268,332,Medium,Medium
1027,Dave McNally,R,71,185,0.133,9,Medium,Low
1028,Darrell Brown,B,72,184,0.27399999999999997,1,Medium,Low
1029,Roy Foster,R,72,185,0.253,45,Medium,Low
1030,Denis Menke,R,72,185,0.25,101,Medium,Low
1031,Hal Breeden,R,74,200,0.243,21,High,Medium
1032,Manny Trillo,R,73,150,0.263,61,Low,Medium
1033,Jackie Gutierrez,R,71,175,0.237,4,Low,Low
1034,Jerry Kenney,L,73,170,0.237,7,Low,Medium
1035,Fred Kendall,R,73,185,0.23399999999999999,31,Medium,Medium
1036,Mike Anderson,R,74,200,0.24600000000000002,28,High,Medium
1037,Jim Lewis,R,75,190,0.0,0,Medium,High
1038,Joe Charboneau,R,74,205,0.266,29,High,Medium
1039,Jimmie Schaffer,R,69,170,0.223,11,Low,Low
1040,Junior Kennedy,R,71,175,0.248,4,Low,Low
1041,Wilbur Howard,B,74,170,0.25,6,Low,Medium
1042,Rod Gilbreath,R,74,180,0.248,14,Medium,Medium
1043,Mark Brouhard,R,73,210,0.259,25,High,Medium
1044,Dan Morogiello,L,73,200,0.0,0,High,Medium
1045,Mike Young,B,74,195,0.247,72,High,Medium
1046,Chris Speier,R,73,175,0.24600000000000002,112,Low,Medium
1047,Gene Michael,B,74,183,0.22899999999999998,15,Medium,Medium
1048,Vic Harris,B,71,165,0.217,13,Low,Low
1049,Mike Fischlin,R,73,165,0.22,3,Low,Medium
1050,Don Money,R,73,170,0.261,176,Low,Medium
1051,Joe Rudi,R,74,200,0.264,179,High,Medium
1052,Jim Rice,R,74,200,0.298,382,High,Medium
1053,Shawn Holman,R,74,185,0.0,0,Medium,Medium
1054,Alan Wirth,R,76,190,0.0,0,Medium,High
1055,Gil Garrido,R,69,150,0.237,1,Low,Low
1056,Marty Perez,R,71,160,0.24600000000000002,22,Low,Low
1057,Tom Matchick,L,73,173,0.215,4,Low,Medium
1058,Jack Perconte,L,70,160,0.27,2,Low,Low
1059,Ed Kirkpatrick,L,71,195,0.23800000000000002,85,High,Low
1060,Jerry Grote,R,70,185,0.252,39,Medium,Low
1061,Ellie Hendricks,L,73,175,0.22,62,Low,Medium
1062,Jim Beauchamp,R,74,190,0.231,14,Medium,Medium
1063,Terry Wilshusen,R,74,210,0.0,0,High,Medium
1064,Tito Fuentes,B,71,175,0.268,45,Low,Low
1065,Ron Brand,R,67,167,0.239,3,Low,Low
1066,Leo Cardenas,R,71,150,0.257,118,Low,Low
1067,Art Shamsky,L,73,168,0.253,68,Low,Medium
1068,Steve Ellsworth,R,80,220,0.0,0,High,High
1069,Ron Cey,R,70,185,0.261,316,Medium,Low
1070,Skip Jutze,R,71,190,0.215,3,Medium,Low
1071,Butch Wynegar,B,73,190,0.255,65,Medium,Medium
1072,Ron LeFlore,R,72,200,0.28800000000000003,59,High,Low
1073,Bill Russell,R,72,175,0.263,46,Low,Low
1074,Gene Tenace,R,72,190,0.24100000000000002,201,Medium,Low
1075,Bubba Morton,R,70,175,0.267,14,Low,Low
1076,Ellie Rodriguez,R,71,185,0.245,16,Medium,Low
1077,Darrel Chaney,B,74,188,0.217,14,Medium,Medium
1078,Dick Nen,L,74,200,0.22399999999999998,21,High,Medium
1079,Bryan Kelly,R,74,195,0.0,0,High,Medium
1080,Bill Freehan,R,75,203,0.262,200,High,High
1081,Steve Nicosia,R,70,185,0.248,11,Medium,Low
1082,Ted Savage,R,73,185,0.233,34,Medium,Medium
1083,Pete Mackanin,R,74,190,0.226,30,Medium,Medium
1084,Rich Dauer,R,72,180,0.257,43,Medium,Low
1085,Mick Kelleher,R,69,176,0.213,0,Low,Low
1086,Rowland Office,L,72,170,0.259,32,Low,Low
1087,Rick Leach,L,73,180,0.268,18,Medium,Medium
1088,Dwayne Murphy,L,73,185,0.24600000000000002,166,Medium,Medium
1089,Larry Harlow,L,74,185,0.248,12,Medium,Medium
1090,Mike Epstein,L,75,230,0.244,130,High,High
1091,Jerry Mumphrey,B,74,185,0.289,70,Medium,Medium
1092,Don Sutton,R,73,185,0.14400000000000002,0,Medium,Medium
1093,Glenn Beckert,R,73,190,0.28300000000000003,22,Medium,Medium
1094,Ron Davis,R,72,175,0.233,10,Low,Low
1095,Mike Shannon,R,75,195,0.255,68,High,High
1096,Jason Thompson,L,76,200,0.261,208,High,High
1097,Wayne Tolleson,B,69,160,0.24100000000000002,9,Low,Low
1098,John Leister,R,74,200,0.0,0,High,Medium
1099,Don Cooper,R,73,185,0.0,0,Medium,Medium
1100,Mike Jorgensen,L,72,195,0.243,95,High,Low
1101,Ed Romero,R,71,160,0.247,8,Low,Low
1102,Rick Joseph,R,73,192,0.243,13,High,Medium
1103,Cecil Cooper,L,74,165,0.298,241,Low,Medium
1104,Bill Almon,R,75,180,0.254,36,Medium,High
1105,Joe Ferguson,R,74,200,0.24,122,High,Medium
1106,Jeff Jones,R,75,210,0.0,0,High,High
1107,Jerry Terrell,R,71,165,0.253,4,Low,Low
1108,John Poloni,L,77,210,0.0,0,High,High
1109,Dave Revering,L,76,210,0.265,62,High,High
1110,Curt Ford,L,70,150,0.245,7,Low,Low
1111,Jerry Dybzinski,R,74,180,0.23399999999999999,3,Medium,Medium
1112,Mike Willis,L,74,205,0.0,0,High,Medium
1113,Bob Burda,L,71,174,0.22399999999999998,13,Low,Low
1114,Jesse Gonder,L,70,180,0.251,26,Medium,Low
1115,Gary Sutherland,R,72,185,0.243,24,Medium,Low
1116,Bob Coluccio,R,71,183,0.22,26,Medium,Low
1117,Dave Rader,L,71,165,0.257,30,Low,Low
1118,Ron Gardenhire,R,72,175,0.23199999999999998,4,Low,Low
1119,Bill Sharp,L,70,178,0.255,9,Low,Low
1120,Alan Bannister,R,71,170,0.27,19,Low,Low
1121,Bob Watson,R,72,201,0.295,184,High,Low
1122,Ken Harrelson,R,74,190,0.239,131,Medium,Medium
1123,Bobby Wine,R,73,187,0.215,30,Medium,Medium
1124,Stefan Wever,R,80,245,0.0,0,High,High
1125,John Kennedy,R,72,185,0.225,32,Medium,Low
1126,Chico Ruiz,B,72,169,0.24,2,Low,Low
1127,Dave Johnson,R,73,183,0.0,0,Medium,Medium
1128,Gail Hopkins,L,70,198,0.266,25,High,Low
1129,Doug Frobel,L,76,196,0.201,20,High,High
1130,Luis Melendez,R,72,165,0.248,9,Low,Low
1131,Jerry Augustine,L,72,183,0.0,0,Medium,Low
1132,Bill Plummer,R,73,190,0.188,14,Medium,Medium
1133,Buck Rodgers,B,74,190,0.23199999999999998,31,Medium,Medium
1134,Phil Niekro,R,73,180,0.16899999999999998,7,Medium,Medium
1135,Jeff Holly,L,77,210,0.0,0,High,High
1136,Tom Poquette,L,70,175,0.268,10,Low,Low
1137,Eric Hetzel,R,75,175,0.0,0,Low,High
1138,Brian Asselstine,L,73,175,0.254,12,Low,Medium
1139,Rick Miller,L,72,175,0.26899999999999996,28,Low,Low
1140,Ed Charles,R,70,170,0.263,86,Low,Low
1141,Luis Gomez,R,69,150,0.21,0,Low,Low
1142,Dave Lemanczyk,R,76,235,0.0,0,High,High
1143,Al Jones,R,76,210,0.0,0,High,High
1144,Floyd Rayford,R,70,190,0.244,38,Medium,Low
1145,Sam Hinds,R,78,215,0.0,0,High,High
1146,Tony Conigliaro,R,75,185,0.264,166,Medium,High
1147,Clay Christiansen,R,77,205,0.0,0,High,High
1148,Jim Barr,R,75,205,0.162,1,High,High
1149,Jerry Remy,L,69,165,0.275,7,Low,Low
1150,Larry Rothschild,L,74,180,0.0,0,Medium,Medium
1151,Frank Duffy,R,73,180,0.23199999999999998,26,Medium,Medium
1152,Gary Lance,B,75,195,0.0,0,High,High
1153,Tom O'Malley,L,72,180,0.256,13,Medium,Low
1154,Phil Garner,R,70,175,0.26,109,Low,Low
1155,Larry Pashnick,R,75,205,0.0,0,High,High
1156,Todd Fischer,R,70,170,0.0,0,Low,Low
